Page,Pageviews,Unique Pageviews,Title,InclusiveDates,Scope,Avg. Time on Page,Entrances,% Exit
/index.php?p=collections/controlcard&id=2762,4,4,News Releases -- General and Special,1951-2002,"Press releases publicizing important announcements relating to Carleton College.  These releases were produced by the college and are designed for readers outside the Carleton community.  Some topics include announcements relating to faculty, staff, students, alumni, trustees and major donors, facilities improvements, new programs, speakers and research projects.",0:01:35,0,50.00%
/index.php?p=collections/controlcard&id=2762&q=68014,4,4,News Releases -- General and Special,1951-2002,"Press releases publicizing important announcements relating to Carleton College.  These releases were produced by the college and are designed for readers outside the Carleton community.  Some topics include announcements relating to faculty, staff, students, alumni, trustees and major donors, facilities improvements, new programs, speakers and research projects.",0:00:00,0,100.00%
/index.php?p=collections/controlcard&id=2767&q=off+campus+studies,5,4,Off-Campus Studies Collection,1962-1986,NULL,0:01:54,0,0.00%
/index.php?p=collections/controlcard&id=2770&q=wellstone,4,4,Paul D. Wellstone Papers,NULL,NULL,0:00:57,0,25.00%
/index.php?p=collections/controlcard&id=2771,12,4,Paul H. Riesman Papers,NULL,NULL,0:03:00,2,8.33%
/index.php?p=collections/controlcard&id=2774,5,4,Personnel Files maintained by the Dean of the College Office,NULL,NULL,0:00:42,0,0.00%
/index.php?p=collections/controlcard&id=2776,5,4,Personnel Files maintained by the President's Office,NULL,NULL,0:00:30,0,0.00%
/index.php?p=collections/controlcard&id=2788,5,4,Photographic Prints -- Individuals as Members of Groups/Teams,NULL,Portriats of people in campus groups or as part of a sports team.,0:00:19,0,0.00%
/index.php?p=collections/controlcard&id=2796,6,4,President's Annual Reports (Strong and Sallmon),1873-1909,NULL,0:04:54,0,0.00%
/index.php?p=collections/controlcard&id=2831,4,4,Theses for Advanced Degrees,1878-1945,NULL,0:08:50,2,50.00%
/index.php?p=collections/controlcard&id=2837,5,4,Trustees Executive Committee Minutes,1867-1898; 1903-1937; 1944-,NULL,0:00:22,1,20.00%
/index.php?p=collections/controlcard&id=2844,5,4,William Carleton Collection,1870- circa 1950,"Genealogical material on the Carleton family, research and inquiries regarding William Carleton, correspondence with William Carleton's two grandsons, and photos of the family homes and gravesites.  The correspondence mostly concerns donations of money and artifacts from the family to the college.",0:09:25,0,40.00%
/index.php?p=collections/controlcard&id=2853,7,4,"Dean of the College's Office Records (Boardman, Bierman, Nagel)",2002-2011,NULL,0:00:35,0,0.00%
/index.php?p=collections/controlcard&id=2871,4,4,Associate Dean of the College 2,1989-2002,"Records of the Associate Dean of the College 2 contain materials produced and amasssed during the operations of this Office.  Materials include committee minutes and other records related to admissions, academics, child care, faculty recruiting, facilities, the Library, budget, campus life and activities, and more.",0:03:07,0,0.00%
/index.php?p=collections/controlcard&id=2888,6,4,T-Shirts,NULL,"T-shirts made at Carleton College, often by students or by academic departments.",0:01:42,0,0.00%
/index.php?p=collections/controlcard&id=2919,5,4,Administrative Offices,1928-1985,"Records from the Development Office of administrative offices. Some include:
	-Admissions
	-Bookstore
	-Business Office
	-Financial Aid
	-Institutional Research
	-Vice President's Office",0:03:31,0,20.00%
/index.php?p=collections/controlcard&id=2925,5,4,Miscellaneous,1923-1981,"Records from the Development Office of miscellaneous material. Sample material relates to the following entities:
	-Athletics such as schedules and banquets
	-Faculty such as committees and lists
	-Mailing Lists such as Rhodes Scholars
	-Merchandise",0:00:08,0,0.00%
/index.php?p=collections/controlcard&id=2932,4,4,Treasurer's Office Records,1922-1979,"Records of the Office of the Treasurer for Carleton College such as:
	Board of Trustees
	Executive Committee
	Investments
	Staff and administrative affairs
	Public and External Relations
	College finances
	Funds, grants and gifts
	Personnel
	Real estate assets
	Facilities
	Student, staff and faculty affairs.",0:01:31,0,25.00%
/index.php?p=collections/controlcard&id=2933,5,4,Women's League Handbook,1913-1969,"The Women's League Handbook, and its various incarnations, was created by representatives of the female students of Carleton College to describe rules and regulations required of or suggested for the female students attending Carleton College.",0:00:11,0,0.00%
/index.php?p=collections/controlcard&id=2934,5,4,Information Pleas : A Handbook for Women Students,1941-1969,"Annual Handbook for incoming Freshmen women at Carleton College. This handbook was written by the Women's League of Carleton College and designed to convey an overall picture of the social, religious, cultural, and academic environment of the campus. While most volumes were addressed specifically to the incoming women students, the 1950/51 and 1951/52 volumes were addressed to \students\"" and were co-authored by the Men's League of Carleton College.""",0:00:02,1,20.00%
/index.php?p=collections/controlcard&id=2939,4,4,Staff Handbook,"1972, 1990, 1997",NULL,0:07:31,0,0.00%
/index.php?p=collections/controlcard&id=2940&q=sports+information,4,4,Sports Information Department,1985-2012,"Records relating to the promotion of Carleton athletics in the media. Includes:
	-photographs (filed seperately)
	-event information
	-team information
	-rosters
	-schedules
	-promotional materials
	-news clippings
	-brochures
	-releases
	-awards and honors
	-'C-club' documents.",0:06:43,0,25.00%
/index.php?p=collections/controlcard&id=325&q=reunion,5,4,Reunion Publications,1960-,Serial publication produced by or at Carleton College.,0:00:36,0,0.00%
/index.php?p=collections/controlcard&id=334&q=carleton+graphic,5,4,Carleton Graphic (originally The Carleton Comics Journal),2009-,Serial publication produced by or at Carleton College.,0:03:14,0,40.00%
/index.php?p=collections/controlcard&id=334&q=graphic,4,4,Carleton Graphic (originally The Carleton Comics Journal),2009-,Serial publication produced by or at Carleton College.,0:06:14,0,0.00%
/index.php?p=collections/controlcard&id=85,6,4,Associate Dean of the College 1,1972-1979,"Records of the Associate Dean of the College 1 contain materials produced and amasssed during the operations of this Office.  Materials include committee minutes, correspondence, and general information related to admissions, placement, curriculum, faculty, minority students, and campus life and activities.",0:04:31,0,0.00%
/?p=accessions/accession&id=1102,3,3,Laurel Bradley Files,2011,NULL,0:00:00,3,100.00%
/?p=accessions/accession&id=1391,3,3,Vice President and Treasurer's Office Records,1998-2009,"LOCATION CHECKED
	 
	[b]BOX 1:[/b]
	Administrative Council – 2008-2009
	Administrative Council – 2007-2008 (2 files)
	Administrative Council – 2006-2007
	Administrative Council – 2005-2006 (2 Files)
	Administrative Council – 2004-2005
	Administrative Council Budget Retreat – April 6, 2009
	Administrative Council Retreat – September 2, 2008
	Administrative Council Mini Retreat – May 5, 2008
	Administrative Council Retreat – August 27-28, 2007
	Administrative Council Retreat – March 28, 2007
	Administrative Council Retreat – August 29-29, 2006 – Gainey Conference Center, Owatonna
	Administrative Council Mini-Retreat – March 6, 2006
	Budget Retreat – January 6, 2006
	Administrative Council Retreat – August 20-30, 2005
	Administrative Council Retreat – January 7, 2005
	Administrative Council – November 22 and December 16, 2004
	Administrative Council Retreat – September 31, 2004
	[b]BOX 2 - TRUSTEES - CONFIDENTIAL[/b]
	Executive Committee – June 12, 2009, Northfield, MN
	Executive Committee – January 12, 2009
	Executive Committee – January 9, 2009
	Executive Committee – September 18, 2008
	Executive Committee – January 16, 2008
	Executive Committee – January 18-19, 2007 – Palo Alto, CA
	Executive Committee- September 21, 2006
	Executive Committee – January 19, 2006 – Harvard Club, New York City (2 files)
	Executive Committee – September 15, 2005 – Chicago, IL
	Executive Committee – January 20, 2005
	Executive Committee – September 15, 2004
	Trustees:  Orientation – October 2006
	Trustees:  Orientation – October 2005
	Trustees:  Orientation – February 2005
	Trustees:  Orientation Session – Budgets and Financial Planning – October 2003
	Trustees:  Orientation – October 2002
	Trustees:  Orientation – October 2001
	Trustees:  Board Meeting – February 2009
	Trustees:  Comparative Data – October 2008
	Trustees:  Board of – October 2007
	Trustees:  Board of – May 2007
	Trustees:  Board of – February 2007 – Carefree, AZ
	Trustees:  Board of – Board Book Materials – May 19, 2006
	Trustees:  Board of – May 2006
	Trustees:  Board of – February 2006 (folder empty)
	Trustees:  Board of – October 2005
	Trustees:  Board of – May 2005
	Trustees:  Board of – February 2005
	Trustees:  Board of – October 2004
	Trustees:  Audit Committee – September 16, 2008
	Trustees:  Audit Committee – September 10, 2007 – Twin City Office
	Trustees:  Audit Committee – May 2007
	Trustees:  Audit Committee – October 2005
	Trustees:  Audit Committee – May 2005
	Trustees:  Audit Committee – February 2005
	Trustees:  Audit Committee – October 2004
	Trustees:  Buildings and Grounds – Conference Call – July 29, 2008
	Trustees:  Buildings and Grounds – May 2007
	Trustees:  Buildings and Grounds – February 2006 (folder empty)
	Trustees:  Buildings and Grounds – October 2005
	Trustees:  Buildings and Grounds – February 2005 (folder empty)
	Trustees:  Buildings and Grounds – October 2004
	Trustees:  Finance and Planning – Misc. Minutes
	Trustees:  Finance and Planning – May 2009
	Trustees:  Finance and Planning – Conference Call – December 17, 2008
	Trustees:  Finance and Planning – October 2007
	Trustees:  Finance and Planning – February 2007
	Trustees:  Finance and Planning – May 2006 (folder empty)
	Trustees:  Finance and Planning – February 2006 (2 files)
	Trustees:  Finance and Planning – October 2005
	Trustees:  Finance and Planning – May 2005
	Trustees:  Finance and Planning – February 2005
	Trustees:  Finance and Planning – December 15, 2004 – Chicago O’Hare
	Trustees:  Finance and Planning – October 2004
	Trustees:  Finance and Planning – February 2003
	Trustees:  Finance and Planning – October 2002
	Trustees:  Finance and Planning – May 2002
	Trustees:  Finance and Planning – October 2001
	[b]BOX 3 - TRUSTEES - CONFIDENTIAL[/b]
	Trustees:  Investment Committee – May 2009
	Trustees:  Investment Committee – February 2009
	Trustees:  Investment Committee – October 2008
	Trustees:  Investment Committee – May 2008
	Trustees:  Investment Committee – September 12, 2007 – Minneapolis Club, Minneapolis
	Trustees:  Investment Committee – May 2007
	Trustees:  Investment Committee – October 2006
	Trustees:  Investment Committee – May 2006
	Trustees:  Investment Committee – September 21, 2006 – Chicago, IL
	Trustees:  Investment Committee – May 2006 (folder empty)
	Trustees:  Investment Committee – February 2006 (folder empty)
	Trustees:  Investment Committee – October 2005
	Trustees:  Investment Committee – September 2005 – Chicago, IL
	Trustees:  Investment Committee – May 2005
	Trustees:  Investment Committee – February 2005
	Trustees:  Investment Committee – October 2004
	Trustees:  Investment Committee – August 19, 2004
	Trustees:  Investment Committee – February 2003
	Trustees:  Investment Committee – October 2002
	[b]BOX 4 - COMMITTEE FILES - CONFIDENTIAL[/b]
	Committee on Committees – Reorganization of College Committees
	Admissions and Financial Aid Committee (AFAC) – 2007-2008
	Admissions and Financial Aid Committee (AFAC) – 2006-2007
	Admissions and Financial Aid Committee (AFAC) – 2005-2006
	Admissions and Financial Aid Committee (AFAC) – 2004-2005
	Pre-Budget Meeting – 2008-2009
	Budget Committee – 2008-2009
	Pre-Budget Committee – 2007-2008
	Budget Committee – 2007-2008
	Budget Committee – 2006-2007
	Budget Committee – 2005-2006
	Budget Committee – 2004-2005
	College Council – 2008-2009
	College Council – 2007-2008
	College Council – 2006-2007
	College Council – 2004-2005
	Carleton Responsible Investment Committee (CRIC) – 2008-2009
	Carleton Responsible Investment Committee (CRIC) – 2007-2008
	Carleton Responsible Investment Committee (CRIC) – First File – 2005
	ENTS Intern (5[sup]th[/sup] Year) – Chris Erickson – 2008-2009
	ENTS Intern (5[sup]th[/sup] Year) – Mathias Bell – 2007-2008
	5[sup]th[/sup] Year ENTS Intern – Meeting Folder – Elizabeth Shephard
	[b]BOX 5 - COFHE ASSEMBLY MEETING MATERIALS[/b]
	Fall 1998 Meeting Notes and COFHE 1998 Inventory of Campus Diversity Initiatives
	COFHE Assembly Meeting (Northfield) – October 5-6, 1998
	COFHE Spring Assembly Meeting (Johns Hopkins University/Baltimore) – April 14-15, 1999
	COFHE Fall Assembly Meeting (Pomona College) – October 25-26, 1999
	COFHE Spring Assembly Meeting (Georgetown) – April 2000
	COFHE Fall Assembly Meeting (Wesleyan University Middletown, CT) – October 2-3, 2000
	COFHE Spring Assembly Meeting (Washington University, St. Louis, MO) – April 9-10, 2001
	COFHE Fall Assembly Meeting (Oberlin College) – October 15-16, 2001
	COFHE Spring Assembly Meeting (Columbia University) – April 16-17, 2002
	COFHE Assembly Meeting (Duke University, Durham, NC) – October 23-24, 2002
	COFHE Spring Assembly Meeting (Amherst College) – April 28-29, 2003 (2 notebooks)
	Value(s) Based Pricing in Higher Education – October 2003 (Dean W. Currie, Rice University)
	COFHE Fall Assembly Meeting (Rice University) – October 14-15, 2003
	COFHE Spring Assembly Meeting (Massachusetts Institute of Technology) – April 21-22, 2004",0:00:00,3,100.00%
/?p=accessions/accession&id=1542,3,3,Band Concert Photograph,circa 1920,NULL,0:00:19,0,0.00%
/?p=collections/controlcard&id=117,3,3,Carleton Conservatory/Department of Music Bulletins,1912-1926,"Bulletin about the conservatory/department of music at Carleton College.  Provides information about the department including faculty, courses, requirements, announcements, music students and etc. Published by the college four times a year: September, December, March and June.
	 June 1914
	June 1912
	March 1923
	March 1925",0:00:00,3,100.00%
/?p=collections/controlcard&id=2656,3,3,"Biographical Files -- Staff, Trustees, Administrators, Faculty and Friends of the College (STAFF)",1866 to present,NULL,0:20:12,0,33.33%
/?p=collections/controlcard&id=2699,5,3,Donald J. Cowling Papers,[1907]; 1909-1966,"Manuscripts, correspondence, memos, reports, pamphlets, and circulars relating to Cowling's non-Carleton professional activities.  The bulk of the material is from his years as President of Carleton; of this, the majority is related to his various state and national activities in the Congregational Conference, especially the Commission on Missions.  Other noteable materials are manuscripts of many of the speechs made by Cowling during and after his years at Carleton.  The speeches are divided into four subseries:  Religion and Education; Religion--General; Education--General; Miscellaneous.  Many of the speeches within a given subseries are similar in content although their titles may vary.  Cowling was asked to speak so often that he had to recycle a speech many times.  Also included are items related to the Emergency Council on Education during World War One, to the University of Minnesota Medical School (especially the Mayo Memorial Commission), to Cowling's relationship with Felix Morely, and to the dinner given in his honor (1958) at the University of Minnesota.
	The President's Office, 1909-62 record group in the Carleton Archives contains additional material pertaining to some of Cowling's extracurricular activities.  [i]Donald J. Cowling[/i], by Merrill Jarchow, is an good introduction to the wide range of his activities and accomplishments.",0:01:20,0,0.00%
/?p=collections/controlcard&id=2743,4,3,Leal A. Headley Papers,1911-1965,"Scattered material relating to Headley's 3 identities:  Carleton alumnus (`07); Carleton Professor of Philosophy and Education; senior author of Carleton:  The First Century.  The most important portion of this collection are the four folders containing alumni responses to Headley's questionnaire about student life at Carleton--some of the responses were used in The First Century.  Also of note are a nearly complete set of Headley's gradebooks and some scattered lesson plans and exams.  Finally, there is correspondence concerning his class`s 50th reunion.  Of note in the Miscellaneous folder are a proposal for freshman orientation and a report on \religious conditions\"" among male students at Carleton.""",0:02:00,1,50.00%
/?p=collections/controlcard&id=2774,3,3,Personnel Files maintained by the Dean of the College Office,NULL,NULL,0:10:00,0,0.00%
/?p=collections/controlcard&id=2795,3,3,COLLECTION ID NOT FOUND,Not Found,Not Found,0:00:15,0,0.00%
/?p=collections/controlcard&id=2799,6,3,President's Office Records (Gould),1945-1962,NULL,0:04:19,1,16.67%
/?p=collections/controlcard&id=2827,5,3,Student Transcripts,1867-,"Original transcripts of students attending Carleton College, its related preparatory department/academy, the music program/conservatory program, academic prizes and awards granted to students.",0:00:32,2,20.00%
/?p=collections/controlcard&id=2852,7,3,Dean of the College's Office Records (McKinsey),1989-2002,"Records of the Dean of the College contain materials produced and amasssed during the operations of this Office.  Materials include information related to campus committees; Carleton's participation with regional, national, and international education-centered organizations; the Board of Trustees; scholarships, endowments, grants, and fellowships; campus committees; academic departments; faculty grant proposals; faculty recruitment; student services; and more.",0:01:17,1,14.29%
/?p=collections/controlcard&id=2949,4,3,Thrust,NULL,Student-written erotica magazine created by the Skin Deep/Thrust student organization. Includes both anonymous and non-anonymous submissions.,0:00:18,3,50.00%
/?p=collections/controlcard&id=333,3,3,Boliou News (Art Department Newsletter),NULL,Serial publication produced by or at Carleton College.,0:00:16,3,66.67%
/index.php?p=accessions/accession&id=1210&q=1990-06-15,3,3,Class of 1895 class letters,1895; 1990,Letters from the class of 1895,0:00:41,0,0.00%
/index.php?p=accessions/accession&id=1316&q=1998-09-07,3,3,"Files concerning the planning of the Library addition and Library Budget/Annual Reports, 2 box",1998,NULL,0:00:58,0,0.00%
/index.php?p=accessions/accession&id=1449&q=publications,5,3,Publications from Carleton College,1960-2006,NULL,0:02:21,1,20.00%
/index.php?p=accessions/accession&id=1500&q=2012-08-01,5,3,Publications Slides,2000-2006,"A videly varied group; contains images of students, faculty, and staff, campus buildings and places, special events, convocations, Northfield scenes, and many other subjects.",0:02:32,0,0.00%
/index.php?p=accessions/accession&id=1529&q=sports+info,3,3,Sports Information Office,1996-2012,"Newspaper clippings, photo prints and digital photos on CD of both individual games and team portraits, as well as team information and brochures.",0:02:08,0,0.00%
/index.php?p=accessions/accession&id=1530&q=carltalk,4,3,Class of 2002 Reunion Interviews,2002; 2012,"CarlTalk, a CAMS comps whose focus was interviews with Class of 2002 alums. Audio was taken at 2012 Reunions.",0:14:18,0,0.00%
/index.php?p=accessions/accession&id=1561,3,3,"Oral History Digitization Project Files, hard drive",circa 1970 to circa 2010,Extensive collection of digitized audio and video from the Oral History Project.  Features alumni reflecting on their experiences at Carleton from 1970 to 2010.,0:00:09,0,33.33%
/index.php?p=accessions/accession&id=1584&q=2013-06-27/1,3,3,Glass photo slides,1928-1930,Various photos on glass slides of (including but not limited to) the Byrd Antarctic expeditions of which Laurence Gould was a part.,0:02:36,0,0.00%
/index.php?p=accessions/accession&id=1644,3,3,Sports Information Office Files,2001-2011,"Files relating to sports information office, organized by subject. Items include but are not limited to: team rosters, MIAC records lists, employment information, schedules, interview transcripts for athletes, old baseball website, game summaries, recruitment files, statistics, media guides, headshots and action photographs of the following teams: men's baseball, men's golf,  men's basketball, men's soccer, men's tennis, men's track, and men's cross country and women's softball, women's volleyball, women's basketball, women's soccer, women's tennis, women's track, and women's cross country.",0:06:22,1,33.33%
/index.php?p=accessions/accession&id=1660&q=2014-04-23,3,3,Ian Barbour Papers,1932-2010,"Papers related to Barbour's research, the Gifford lectures, the Templeton prize and the extended Barbour family.",0:01:23,0,66.67%
/index.php?p=accessions/accession&id=1708&q=2014-06-24,3,3,Miscellaneous Scrapbooks,1993,"Collection of miscellaneous scrapbooks, including the Class of 1943's 50th reunion (1993) scrapbook set.",0:00:17,0,0.00%
/index.php?p=accessions/accession&id=1709&q=2014-06-24,4,3,Letters and Photographs Sent to Class of 1943 Class Correspondent,1968-1992,"Letters, photographs, et cetera sent to Elizabeth “Biz” Dornacker, class correspondent. Includes many photos from Class of 1943 reunions.",0:04:12,0,0.00%
/index.php?p=accessions/accession&id=1711&q=2014-03-07,4,3,Dean for Budget and Planning files,NULL,"Includes Carleton College Framework for Strategic Planning drafts1991, 1992; Financial Future of Carleton College, 1994; Report of the Calendar Committee, 1995;  President's Report to Alumni 1994/95; Carleton College Patent Policy; one folder containing A Guide to Minnesota's Charity Laws.",0:07:21,0,25.00%
/index.php?p=accessions/accession&id=1766&q=2014-07-29,4,3,Ford Mellon Conference and Scholarship/Fellowship Records,1989-1991,"Contents/Folder Titles:
	Ford/Mellon Conference Reservations
	Ford/Mellon Annual Final Report
	Ford/Mellon Conference Correspondence
	Ford/Mellon Fellowship General Information
	Ford/Mellon Conference Exchange Research Scholar Program
	Ford/Mellon Conference General Information
	Ford/Mellon Conference Budget
	Ford/Mellon Conference Contract
	Ford/Mellon Applications
	Jennifer Hammond, Ford/Mellon Research Fellow
	Sarah Maruska, Mt. Holyoke Exchange Scholar
	Watie White, Ford/Mellon Research Fellow
	Ford/Mellon Conference Student Assessments
	Angela Davis, Ford/Mellon Research Fellow
	Georgina Moreno, Ford/Mellon Research Fellow
	Tara Reid, Ford/Mellon Research Fellow
	Rachel Lokken, Ford/Mellon Exchange Program, Oberlin
	Ford/Mellon Exchange Program
	Ford/Mellon Exchange Program
	Ford/Mellon Research Scholars General Information
	Ford/Mellon Scholarships General Information
	Jim Kolstad, Presidential Fellowship
	Ford/Mellon Scholarship Recipients
	Ford/Mellon Budget
	Ford/Mellon Research Scholars Reports
	Ford/Mellon Research Scholars Conference
	PaDer Yang
	Maurice Lee, Ford/Mellon Exchange Scholar
	Lisa Bass
	Chris Navia
	Richard Dorfsman
	Ford/Mellon Meeting, Williams College, March 10-13
	Ford/Mellon Summer Conference, Mt. Holyoke, July 29-30
	Julia Baker, Ford/Mellon Exchange Scholar
	Spencer Middleton, Ford/Mellon
	Lance McCready, Ford/Mellon
	Kevin Noel, Ford/Mellon
	Georgina Moreno, Ford/Mellon Research Scholar
	Ford/Mellon Applicants
	Michelle Cassens, Ford/Mellon
	PaDer Yang, Ford/Mellon
	Ford/Mellon Applications
	Ford/Mellon Exchange Scholars Program
	Michael Saucedo, Ford/Mellon
	Maria Farmer, Ford/Mellon Research Scholar
	Yvonne Malloy, Ford/Mellon Research Scholar
	Lori Anne Fukuhara, Ford/Mellon Research Scholar
	David Watts, Ford/Mellon Research Scholar
	Chris Davis, Ford/Mellon
	Audrey McDowell, Ford/Mellon Research Scholar
	Ford/Mellon Conference
	Ford/Mellon Research Scholarships General Information
	Ford/Mellon Research Fellowships Applications
	Ford/Mellon Research Scholarships Grants, Reports",0:00:16,0,0.00%
/index.php?p=accessions/accession&id=1767&q=2014-07-29,6,3,"ACM and Other Research Fellowships, Scholarships, and Conference Records",1988-1991,"Contents/Folder Titles: 
	Annual/Final Report, ACM           1991
	ACM Minority Research Fellowship Budget          1991
	ACM Fellows Budget     
	ACM Fellows Conference             1991
	ACM Research Applications         1991
	ACM Minority Research Fellowship General Correspondence     1991
	ACM Conference, Statement of Purpose, U of Chicago IL, History/Mexican/American    1991
	Michael Saucedo, ACM Research Fellowship       1991
	Chris Navia, ACM Research Fellowship   1991
	Po Yi, ACM Research Fellowship                1991
	Michelle Bayne, ACM Research Fellowship          1991
	ACM Minority Research Scholars Reports             1990-1991
	ACM Research Fellowship Announcement           1990-1991
	ACM Scholarships Budget            1990
	Demetrius Bagley, ACM Minority Scholar              1990-1991
	Stephanie Carrasco, ACM Minority Scholar           1990-1991
	Phillip Chung, ACM Minority Scholar        1990-1991
	Mildred Beltre, ACM Minority Scholar    1990-1991
	ACM Applicants                1990-1991
	ACM Conference, University of Chicago, June 18-19        1990
	ACM Minority Research Scholarships General Information           1990-1991
	ACM Minority Fellows  
	Yang Lo, ACM Minority Research Scholar               1989-1990
	Spencer Middleton, ACM Minority Research Scholar       1989-1990
	Christine Navia, ACM Minority Research Scholar                1989-1990
	Don Wiese, ACM Minority Research Scholar        1989-1990
	ACM Applications            1989-1990
	ACM Workshop, June 21-24, Chicago      1989
	ACM Scholars Workshop, October 6 and 7            1989
	ACM Minority Scholars 
	ACM Minority Fellows Recipients             1988
	Richard Merritt, ACM Minority Research Scholar               1988-1989
	Juan Rivera, ACM Minority Research Scholar       1988-1989
	Lance McCready, ACM Minority Research Scholar             1988-1989
	ACM Minority Fellows Applicants             1988
	ACM Minority Scholars Meeting September 30 and October 1, Macalester           1988
	Andrew Nguyen, Presidential Fellowship              1991
	Po Yi, Presidential Fellowship     1991
	Nancy Coronado, Presidential Fellowship             1991
	Hughes Research Applications   1991
	Jennifer Busa, Presidential Fellowship    1990
	Hughes Medical Institute             1990
	Anita Ho, Hughes Medical Institute          1990
	Carleton Crawford, Hughes Medical Institute      1990
	Luke Koenigs, Hughes Medical Institute                1990
	Hughes Medical Institute            
	Hughes Medical Account             
	Larson International Fellowship
	Anna Joo, Richter Scholarship and Minority Leaders, Washington DC       1991",0:01:17,0,0.00%
/index.php?p=accessions/accession&id=1768&q=2014-07-29,3,3,South African Exchange Program Records,1987-1994,"Contents/ Folder Titles
	SAEP 1994          
	Anderson, Tyneil Lytris 
	Avent, Kyana N.              
	Boriboune, Dao Chay    
	Brown, Cleapatra Louise              
	Crenshaw, LaKenya Trinette      
	Felder, Katherine Rose 
	Floyd, Kassandra Marie
	Hagestad, Cassie Leah  
	Hernandez, Danielle Michelle    
	Jones, Diana Leticia        
	Liyanapathiranage, Dulini            
	Logan, Kendra Francine
	Mahasin, Aaliyah Majeed            
	Keelii McCarty  
	Pellerin, Anthony McKee            
	Perkerson, La'kisha Patrice         
	Preston, Donnie Otis     
	Salas, Adanari Raquel    
	Seely, Joshua Tae Wan 
	Sumpter, Aja Elaine       
	Wiley, Tinaisha Patrice  
	Wilson, Catina Valentina              
	Xiong, Mai          
	Arnoldi, Keremy Scott   
	Bethea, Devon Lamount              
	Brown, Nicole Helene   
	Otis, Craig Clark
	Hang, Lillian       
	Jackson, Talicia Sharea  
	Lanka Liyanpathiranage
	Lee, May See    
	Ly, Hong              
	McDonald, Naomi Paula               
	McDonlad, T'Rone Antony DeShone      
	Morgan, Molly Anne     
	Muthyala, Brian K.          
	Nevilles, Tometka LaShunda      
	Nguyen, Trang Thuy      
	Nguyen, Xuan Lam         
	Oliver, Dequon Q.           
	Samuelson, LeeAnn Carol           
	Santos, Maria Del Rosario            
	Olalekan Tejuoso            
	Thomas, Robert Fo         
	Veal, Maia Alanna           
	Ward, Richelle Lee          
	Xiong, Bee         
	Yang, Jason Aaron          
	SAEP Permission Forms
	Missing Applications      
	Cherie, Espinosa              
	Andy Johnson  
	Susan Kim          
	Sonia Kuester   
	Ong Lo 
	Nicole Loinat     
	Rakhee Madan
	Franklin Oliver  
	Monique Oliver               
	Betty Patterson               
	Hannah Price    
	Iram Qidwai       
	Esme Schwall    
	Manuel Solis     
	Paul Sopocy       
	Annie Tseng      
	Jennifer VanEtta             
	Bea Wallins        
	Curtisa West     
	Beatrice Wikander          
	Lydia Yi
	Richard Yuen     
	Burns, Katy L.    
	Solis, Ismael M.
	Avent, Angela  
	Bartone, Danielle Elise  
	Ellering, Nathan John    
	Hicks, Peter Michael      
	Salas, Marisol Danari      
	Sudduth, E'lisha Lorraine             
	Vang, Mao         
	Williams, Necole Marie 
	Quach, Katie T. 
	Strand, Kristen M.          
	SAEP Application              1993
	SAEP Summer Counselor Applications   
	Expenses             1993
	Catering               1993
	Printing                1993
	Campus Activities/News Bureau               1993
	Evaluations         1993
	Professors          1993
	Cities     1994
	Publicity               1993
	SAEP Mentoring Program Events Registration Forms      
	SAEP Mentoring Program Khan's Mongolian Barbecue   1993
	Overnights         
	Correspondence with Mentors
	Correspondence with Mentees               
	Mentors             
	Margaret Cruz  
	Yusuf Dawoodbhai         
	Tia Dole               
	Sarah Ruiz          
	Kristina McNeff               
	Mayka Yang       
	Beaulieu, Michelle          
	Davis, Sally, E    
	Chong, Everett Eiji          
	Choo, Laurena  
	Peterson, Dawn              
	Phippen, Stephanie       
	SAEP Miscellaneous       
	SAEP Mentor Program   1993-1994
	Dorm Counselors             1993
	SAEP 7th Grade Letters, 8th Grade          1992
	Certificates        
	Suttles, Tamika LaToya 
	Dixon, Tia LaRae              
	Roger Lamont Pettis      
	Preston, Dionne Lanell 
	Vue, Xay             
	Frye, Monique 
	Multicultural Services    
	[SAEP] 
	SAEP Schedule  1992
	SAEP Referrals  1994
	SAEP Materials 
	SAEP Student Database Dictionary MMEP           
	Glance Back (NOT PUBLIC)           1992
	SAEP Program   1991
	Upward Bound ISAEP    
	True Colors        
	SAEP Budget      1992
	Mentor Program - Mea Days     
	SAEP General   
	SAEP School Contacts     1993
	Complete Listing of All Past Participants/Schools              
	Summer Enrichment Program Fair            1993
	First Bank St. Paul Summer Program Proposal     1987
	Gessner, Kimberly Sumarie        
	Blanks, Evan      
	Graddick, Vannessa, Jeannine  
	Lopez, Miguel Angel      
	Murphy, Carolyn             
	Randolph, Catina Valentina        
	Smith, Jacqui Patrica      
	Cox, Rahlla Aleta,            
	Cox, Tenaya Nicole         
	Gayden, Carla Venessa
	Hayles, Robert L.             
	Zubria, Veronica Marie 
	Ron Ligon           
	Gary, Nicole      
	Khammanioung, Douangsonepheth       
	Mbonu, Justina Ada       
	McDonadd, LaTracey Nicole       
	McKamie, TyShanna Loree         
	Wooten, Michelle Marie              
	Ybarra, Angelica Isabel  
	Rattanasamay, Viprasong            
	Thao, Peggy      
	Vue, Yer              
	Floyd, Patricia Alice        
	Thao, Mai See  
	Thongratsamy, Athimaphone Antie        
	SAEP Program files, Individual and Group Breakdowns   1987-1991",0:06:15,0,0.00%
